,event name,organiser,speciality,keyword,similarity,date present,description present,start year,start month,start date,end year,end month,end date,time present,start time,end time,description,fee type,fees,mode,venue,register url
0,​Primary Allergy in Childhood,KK Women's and Children's Hospital,occupational medicine,childhood,0.3813853581256751,True,True,2023,1,13,2023,1,13,False,,,​Signs of allergy prevention ,Free,0.0,Virtual,,/Documents/HELMS/HELMS-Primary_Allergy_Prevention.pdf
1,​Primary Allergy in Childhood,KK Women's and Children's Hospital,infectious diseases,primary allergy,0.3668366051086256,True,True,2023,1,13,2023,1,13,False,,,​Signs of allergy prevention ,Free,0.0,Virtual,,/Documents/HELMS/HELMS-Primary_Allergy_Prevention.pdf
2,​Prevention of childhood infection ,KK Women's and Children's Hospital,infectious diseases,childhood infection,0.5411039377241815,True,True,2023,3,10,2023,3,10,False,,,"
Childhood Vaccination / Prevention of child developmental delay  ",Free,0.0,Virtual,,/Documents/HELMS/HELMS2023-Childhood_Vaccination.pdf
3,"
Supporting Breastfeeding for Optimal Infant Nutrition ",KK Women's and Children's Hospital,public health,nutrition,0.4334980641985497,True,True,2023,4,14,2023,4,14,False,,,"
Lactation and infant supplementation 
                           ",Free,0.0,Virtual,,https://ihis.zoom.us/webinar/register/WN_JfrTLcYmRzWOhqOnbMMQ7Q
4,"
Supporting Breastfeeding for Optimal Infant Nutrition ",KK Women's and Children's Hospital,public health,breastfeeding,0.3672415811129687,True,True,2023,4,14,2023,4,14,False,,,"
Lactation and infant supplementation 
                           ",Free,0.0,Virtual,,https://ihis.zoom.us/webinar/register/WN_JfrTLcYmRzWOhqOnbMMQ7Q
5,"
Supporting Breastfeeding for Optimal Infant Nutrition ",KK Women's and Children's Hospital,paediatric surgery,infant,0.2219376281019988,True,True,2023,4,14,2023,4,14,False,,,"
Lactation and infant supplementation 
                           ",Free,0.0,Virtual,,https://ihis.zoom.us/webinar/register/WN_JfrTLcYmRzWOhqOnbMMQ7Q
6,"
Supporting Breastfeeding for Optimal Infant Nutrition ",KK Women's and Children's Hospital,general surgery,optimal,0.1760920197856509,True,True,2023,4,14,2023,4,14,False,,,"
Lactation and infant supplementation 
                           ",Free,0.0,Virtual,,https://ihis.zoom.us/webinar/register/WN_JfrTLcYmRzWOhqOnbMMQ7Q
7,"
Optimal skin health during pregnancy and childhood",KK Women's and Children's Hospital,public health,skin health,0.766751180137981,True,True,2023,5,26,2023,5,26,False,,,"
Skin care during pregnancy and in children ",Free,0.0,Virtual,,
8,"
Optimal skin health during pregnancy and childhood",KK Women's and Children's Hospital,occupational medicine,childhood,0.3813853581256751,True,True,2023,5,26,2023,5,26,False,,,"
Skin care during pregnancy and in children ",Free,0.0,Virtual,,
9,"
Optimal skin health during pregnancy and childhood",KK Women's and Children's Hospital,obstetrics & gynaecology,pregnancy,0.23055041618002475,True,True,2023,5,26,2023,5,26,False,,,"
Skin care during pregnancy and in children ",Free,0.0,Virtual,,
10,"
Optimal skin health during pregnancy and childhood",KK Women's and Children's Hospital,general surgery,optimal,0.1760920197856509,True,True,2023,5,26,2023,5,26,False,,,"
Skin care during pregnancy and in children ",Free,0.0,Virtual,,
11,"
Update Childhood malnutrition in the 21st century, failure to thrive ",KK Women's and Children's Hospital,infectious diseases,malnutrition,0.41474152263258274,True,True,2023,7,21,2023,7,21,False,,,"

",Free,0.0,Virtual,,
12,"
Update Childhood malnutrition in the 21st century, failure to thrive ",KK Women's and Children's Hospital,renal medicine,failure,0.40941090691648985,True,True,2023,7,21,2023,7,21,False,,,"

",Free,0.0,Virtual,,
13,"
Update Childhood malnutrition in the 21st century, failure to thrive ",KK Women's and Children's Hospital,occupational medicine,childhood,0.3813853581256751,True,True,2023,7,21,2023,7,21,False,,,"

",Free,0.0,Virtual,,
14,"
Update Childhood malnutrition in the 21st century, failure to thrive ",KK Women's and Children's Hospital,respiratory medicine,thrive,0.3336891754465772,True,True,2023,7,21,2023,7,21,False,,,"

",Free,0.0,Virtual,,
