,event name,organiser,speciality,keyword,similarity,date present,description present,start year,start month,start date,end year,end month,end date,time present,start time,end time,description,fee type,fees,mode,venue,register url
0,Multidisciplinary Masterclass Series - Common Chronic Conditions in Older Adults (High Cholesterol),Tan Tock Seng Hospital,medical oncology,multidisciplinary,0.6231970548746455,True,True,2023,4,1.0,2023,4,1.0,True,2:00pm,4:00pm,"Continuing from the 3rd Multidisciplinary GP Forum last November where we focused on some of the Common Chronic Conditions in Older Adults, we will have 4 speakers from different disciplines to dive into one common topic - High Cholesterol,  for this upcoming session.<br><br>Join us virtually on Saturday 1 April 2023, 2pm to 4pm to hear from our specialists from the department of Cardiology, Ophthalmology, Pharmacy Clinical Services and Nutrition & Dietetics. Look forward to an insightful session and have your questions answered in the ""live"" Q&A session!<br><br>2 CME points will be accredited.",Free,0.0,Virtual,,https://for.sg/ttshmultidgpforumapr2023
1,Multidisciplinary Masterclass Series - Common Chronic Conditions in Older Adults (High Cholesterol),Tan Tock Seng Hospital,psychiatry,masterclass,0.5160697808797351,True,True,2023,4,1.0,2023,4,1.0,True,2:00pm,4:00pm,"Continuing from the 3rd Multidisciplinary GP Forum last November where we focused on some of the Common Chronic Conditions in Older Adults, we will have 4 speakers from different disciplines to dive into one common topic - High Cholesterol,  for this upcoming session.<br><br>Join us virtually on Saturday 1 April 2023, 2pm to 4pm to hear from our specialists from the department of Cardiology, Ophthalmology, Pharmacy Clinical Services and Nutrition & Dietetics. Look forward to an insightful session and have your questions answered in the ""live"" Q&A session!<br><br>2 CME points will be accredited.",Free,0.0,Virtual,,https://for.sg/ttshmultidgpforumapr2023
2,Multidisciplinary Masterclass Series - Common Chronic Conditions in Older Adults (High Cholesterol),Tan Tock Seng Hospital,infectious diseases,chronic,0.5100055460801973,True,True,2023,4,1.0,2023,4,1.0,True,2:00pm,4:00pm,"Continuing from the 3rd Multidisciplinary GP Forum last November where we focused on some of the Common Chronic Conditions in Older Adults, we will have 4 speakers from different disciplines to dive into one common topic - High Cholesterol,  for this upcoming session.<br><br>Join us virtually on Saturday 1 April 2023, 2pm to 4pm to hear from our specialists from the department of Cardiology, Ophthalmology, Pharmacy Clinical Services and Nutrition & Dietetics. Look forward to an insightful session and have your questions answered in the ""live"" Q&A session!<br><br>2 CME points will be accredited.",Free,0.0,Virtual,,https://for.sg/ttshmultidgpforumapr2023
3,Multidisciplinary Masterclass Series - Common Chronic Conditions in Older Adults (High Cholesterol),Tan Tock Seng Hospital,general surgery,older adults,0.2799515579406785,True,True,2023,4,1.0,2023,4,1.0,True,2:00pm,4:00pm,"Continuing from the 3rd Multidisciplinary GP Forum last November where we focused on some of the Common Chronic Conditions in Older Adults, we will have 4 speakers from different disciplines to dive into one common topic - High Cholesterol,  for this upcoming session.<br><br>Join us virtually on Saturday 1 April 2023, 2pm to 4pm to hear from our specialists from the department of Cardiology, Ophthalmology, Pharmacy Clinical Services and Nutrition & Dietetics. Look forward to an insightful session and have your questions answered in the ""live"" Q&A session!<br><br>2 CME points will be accredited.",Free,0.0,Virtual,,https://for.sg/ttshmultidgpforumapr2023
4,Multidisciplinary Masterclass Series - Common Chronic Conditions in Older Adults (High Cholesterol),Tan Tock Seng Hospital,renal medicine,high cholesterol,0.08691529172074372,True,True,2023,4,1.0,2023,4,1.0,True,2:00pm,4:00pm,"Continuing from the 3rd Multidisciplinary GP Forum last November where we focused on some of the Common Chronic Conditions in Older Adults, we will have 4 speakers from different disciplines to dive into one common topic - High Cholesterol,  for this upcoming session.<br><br>Join us virtually on Saturday 1 April 2023, 2pm to 4pm to hear from our specialists from the department of Cardiology, Ophthalmology, Pharmacy Clinical Services and Nutrition & Dietetics. Look forward to an insightful session and have your questions answered in the ""live"" Q&A session!<br><br>2 CME points will be accredited.",Free,0.0,Virtual,,https://for.sg/ttshmultidgpforumapr2023
5,Respiratory Care in the Community,Tan Tock Seng Hospital,respiratory medicine,respiratory care,0.7410813106738469,True,True,2023,5,11.0,2023,5,11.0,True,8:00am,5:00pm,"Patients with chronic lung diseases such as Asthma and Chronic Obstructive Pulmonary Disease (COPD) have persistent respiratory symptoms such as increased secretion production, dyspnoea and reduced effort tolerance. These symptoms can be magnified after a bout of exacerbation, which could in turn lead to a downward spiral of functional decline after hospital discharge. The vicious cycle of exacerbation and functional deterioration can accelerate disease progression, worsen long-term prognosis and increase hospital readmissions.<br><br>Pulmonary rehabilitation (PR) is a highly effective treatment that has been reported to mitigate the aforementioned, improve their quality of life, exercise tolerance and confidence in self-management strategies such as early self-recognition, compliance with exercise and secretion management. However, rehabilitating these patients can be challenging because of their evident respiratory symptoms. It is thus critical to have the knowledge on achieving a fine balance between having a treatment plan that is of sufficient intensity to bring about benefits but at the same time minimising symptoms and adverse effects. Patient education is also imperative to ensure patients are adequately empowered to manage their respiratory symptoms as they thrive in the community. Alongside, to help them live well, palliative interventions where required should be incorporated to alleviate more persistent respiratory symptoms, help support them through the disease process and improve their quality of life. These interventions can be delivered and reinforced in the community. This workshop aims to equip physiotherapists with the knowledge needed to manage patients with chronic lung diseases in the community.<br><br>Learning objectives: <br>1) To understand the pathophysiology of common chronic lung diseases and the physiological principles of airway clearance techniques. <br>2) To know the fundamentals of pulmonary rehabilitation programme and the role of oxygen therapy prescription. <br>3) To understand the considerations and precautions in exercising patients with co-existing co-morbidities in chronic lung diseases.<br>4) To increase awareness of the community services and the role of palliative care in the management of chronic lung diseases. <br>5) To consolidate and apply knowledge to real-life scenarios.",Paid,400.0,Virtual,,
6,Respiratory Care in the Community,Tan Tock Seng Hospital,public health,community,0.707454622325811,True,True,2023,5,11.0,2023,5,11.0,True,8:00am,5:00pm,"Patients with chronic lung diseases such as Asthma and Chronic Obstructive Pulmonary Disease (COPD) have persistent respiratory symptoms such as increased secretion production, dyspnoea and reduced effort tolerance. These symptoms can be magnified after a bout of exacerbation, which could in turn lead to a downward spiral of functional decline after hospital discharge. The vicious cycle of exacerbation and functional deterioration can accelerate disease progression, worsen long-term prognosis and increase hospital readmissions.<br><br>Pulmonary rehabilitation (PR) is a highly effective treatment that has been reported to mitigate the aforementioned, improve their quality of life, exercise tolerance and confidence in self-management strategies such as early self-recognition, compliance with exercise and secretion management. However, rehabilitating these patients can be challenging because of their evident respiratory symptoms. It is thus critical to have the knowledge on achieving a fine balance between having a treatment plan that is of sufficient intensity to bring about benefits but at the same time minimising symptoms and adverse effects. Patient education is also imperative to ensure patients are adequately empowered to manage their respiratory symptoms as they thrive in the community. Alongside, to help them live well, palliative interventions where required should be incorporated to alleviate more persistent respiratory symptoms, help support them through the disease process and improve their quality of life. These interventions can be delivered and reinforced in the community. This workshop aims to equip physiotherapists with the knowledge needed to manage patients with chronic lung diseases in the community.<br><br>Learning objectives: <br>1) To understand the pathophysiology of common chronic lung diseases and the physiological principles of airway clearance techniques. <br>2) To know the fundamentals of pulmonary rehabilitation programme and the role of oxygen therapy prescription. <br>3) To understand the considerations and precautions in exercising patients with co-existing co-morbidities in chronic lung diseases.<br>4) To increase awareness of the community services and the role of palliative care in the management of chronic lung diseases. <br>5) To consolidate and apply knowledge to real-life scenarios.",Paid,400.0,Virtual,,
7,Return-to-work Coordinators Workshop: Facilitating Return to Work for Injured Workers,Tan Tock Seng Hospital,public health,workers,0.6069852439759325,True,True,2023,5,11.0,2023,5,12.0,False,,,"This course aims to equip participants with the core competencies of RTW coordinators to assess and facilitate the early RTW of ill or injured workers and collaborate with various stakeholders to develop an appropriate RTW plan.  
In this 6th run of the course, TTSH has partnered with the Singapore Institute of Technology (SIT) to organise this workshop and extending it to non-healthcare professionals involved in facilitating RTW of ill/injured workers at their workplace.   
",Free,0.0,Face-to-Face,Singapore Institute of Technology,https://sitlearn.singaporetech.edu.sg/individualcourse/?title=Return-to-Work-Coordinator-(RTWC)-Programme-(Classroom-&-Asynchronous-e-Learning)=&id=0f1523b0-10b7-ed11-b596-000d3a85d446&FD=true
8,Return-to-work Coordinators Workshop: Facilitating Return to Work for Injured Workers,Tan Tock Seng Hospital,public health,return to work coordinators,0.5127326098027951,True,True,2023,5,11.0,2023,5,12.0,False,,,"This course aims to equip participants with the core competencies of RTW coordinators to assess and facilitate the early RTW of ill or injured workers and collaborate with various stakeholders to develop an appropriate RTW plan.  
In this 6th run of the course, TTSH has partnered with the Singapore Institute of Technology (SIT) to organise this workshop and extending it to non-healthcare professionals involved in facilitating RTW of ill/injured workers at their workplace.   
",Free,0.0,Face-to-Face,Singapore Institute of Technology,https://sitlearn.singaporetech.edu.sg/individualcourse/?title=Return-to-Work-Coordinator-(RTWC)-Programme-(Classroom-&-Asynchronous-e-Learning)=&id=0f1523b0-10b7-ed11-b596-000d3a85d446&FD=true
9,Return-to-work Coordinators Workshop: Facilitating Return to Work for Injured Workers,Tan Tock Seng Hospital,psychiatry,workshop,0.44679058397989924,True,True,2023,5,11.0,2023,5,12.0,False,,,"This course aims to equip participants with the core competencies of RTW coordinators to assess and facilitate the early RTW of ill or injured workers and collaborate with various stakeholders to develop an appropriate RTW plan.  
In this 6th run of the course, TTSH has partnered with the Singapore Institute of Technology (SIT) to organise this workshop and extending it to non-healthcare professionals involved in facilitating RTW of ill/injured workers at their workplace.   
",Free,0.0,Face-to-Face,Singapore Institute of Technology,https://sitlearn.singaporetech.edu.sg/individualcourse/?title=Return-to-Work-Coordinator-(RTWC)-Programme-(Classroom-&-Asynchronous-e-Learning)=&id=0f1523b0-10b7-ed11-b596-000d3a85d446&FD=true
